case_submitter_id	sample_submitter_id	rna_expression_file_id	ascat_cnv_file_id	caveman_vcf_file_id	pindel_vcf_file_id
C3N-00573	C3N-00573-02	e4781ea5-7964-42e9-a9ba-a98bfe467611	07f9cef1-2a4e-4895-98bf-48b5ca5a43e3	8d17d3d2-70e1-47b8-93ee-7cd0916fc4cf	80a374ca-65ee-4ead-be62-d012cd2f4722
C3N-01521	C3N-01521-01	a850fc88-ebea-4937-acf5-5167715e08f8	08033da6-330a-49c3-859e-9f76bfe748ec	c86416de-bd3e-4d74-be93-53d94c0b939b	fa60912e-8a66-430e-8c48-9c9eeafcdb95
C3N-03664	C3N-03664-01	b4ea3d51-a6a8-47b4-bd9c-479fadfde04b	dd2a7791-2a11-441e-b2ac-f66f5dbec0db	08087df9-814e-49c1-b6de-26042f7406ec	2d3a780c-4990-4db1-9803-e13eef33612e
C3N-01893	C3N-01893-02	210b66b4-8f90-4aab-9ba1-2f281b8d88ec	55b77dae-53c6-4972-bf2b-bd36b40b642b	eeab4788-3adc-4c5c-b354-8fa1d0ae2fcb	0809dc0c-5def-4efc-884f-845cbab15a56
C3N-03458	C3N-03458-01	a0610cf4-27a6-4b45-aacc-63bbc79d2a19	c17b62a4-ace7-44fe-b660-aeb8365ced5b	081ab130-9dc3-487a-99e7-ef68193cc226	cf9051b8-2796-4a5c-8074-352a531b7c30
C3N-03619	C3N-03619-02	523f1967-264d-4f05-b6e7-c04bdafb5e64	eff65155-f028-46bf-9673-138aeab90721	083719e3-20d1-4c61-b1cc-6e962237d3e0	d86aed43-f3e4-439d-bf75-09faf0d6a9f1
C3L-00368	C3L-00368-01	5eacf248-c77f-45ee-b6df-a58e990b457c	08372b74-2af3-448a-a4b7-4afc53a7378d	0e1d9884-1cd3-4973-a7fb-62110758145c	c0a55357-3bb4-43c2-bfc8-80795dbf45e5
C3N-01214	C3N-01214-03	1f7fa426-cb9c-4fde-95fd-6096156034a2	2305356c-9d45-4a5e-8100-adf87536057e	6c63042c-60ea-49b9-9287-5bde767bbe9e	083fc1b7-6527-4e3f-8f20-125ecf1ae1ac
C3N-01261	C3N-01261-03	f95b72e3-6e51-46f6-b43a-6fc63d1e72fc	25117db8-234e-4317-990d-7925b1a8c429	e54a8b3a-7b08-4df7-91f4-a58720c4ff23	08590761-9993-450f-b2fd-2f94f0686e72
C3N-01799	C3N-01799-02	ca9a3e89-ba7b-40b0-a09b-925576b464c1	6a09cc13-3237-4aaf-9dae-bd778a409a74	0883800a-1e93-4eb3-b780-a08772c673b9	55c90eab-2c1a-4b09-afd6-8881f1b2a5c6
C3L-01287	C3L-01287-01	11e07160-6ff4-4572-bdee-39a717cdc5f4	088e91f2-079b-4a4e-98d0-e5d420a3c114	75aec535-becd-46dd-bc88-b40611a1e75b	df8d2561-5f1c-40f3-a120-9063780bed3c
